G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,I1,I2,I3,I5,I6,I7,I8,I9,I10,I13,I14,I15,I16,I17,I18,I19,I21,I22,I24,I25,I26,I27,I28,I29,I30,I31,I33,B2,B3,B4,B6,B7,B9,B11,B12,B13,B15,B16,B17,B19,B22,B23,B24,B28,B29,B30,B31,B32,B33,B34,B35,quiz1,quiz2,S1T1_1,S1T1_2,S1T1_3,S1T2_1,S1T2_2,S1T2_3,S1T3_1,S1T3_2,S1T3_3,S1T4_1,S1T4_2,S1T4_3,S1T5_1,S1T5_2,S1T5_3,S2T1_1,S2T1_2,S2T1_3,S2T2_1,S2T2_2,S2T2_3,S2T3_1,S2T3_2,S2T3_3,S2T4_1,S2T4_2,S2T4_3,S2T5_1,S2T5_2,S2T5_3,S3T1_1,S3T1_2,S3T1_3,S3T2_1,S3T2_2,S3T2_3,S3T3_1,S3T3_2,S3T3_3,S3T4_1,S3T4_2,S3T4_3,S3T5_1,S3T5_2,S3T5_3,S4T1_1,S4T1_2,S4T1_3,S4T2_1,S4T2_2,S4T2_3,S4T3_1,S4T3_2,S4T3_3,S4T4_1,S4T4_2,S4T4_3,S4T5_1,S4T5_2,S4T5_3,GF1,GF2,GF3,GF4,GF5,GF6,GF7,GF8,GF9,GF10,GF11,GF12,GF13,GF14,GF15,GF16,GF17,GF18,GF19,GF20,GF21,GF22,GF23,GF24,GF25,GF26,GF27,GF28,GF29,GF30,GF31,GF32,GF33,GF34,GF35,GF36,GF37,GF38,GF39,GF40,GF41,GF42,GF43,GF44,GF45,GF46,GF47,GF48,GF49,GF50,GF51,GF52,GF53,GF54,GF55,GF56,GF57,GF58,GF59,GF60,Age,Gender,Ethnicity,Ethnicity_6_TEXT,end_open,Best_effort_2,Feedback,PROLIFIC_PID,Quiz
3,5,4,4,4,2,3,3,4,2,3,3,2,4,1,4,3,4,4,3,4,1,2,4,3,4,4,4,1,4,4,4,4,2,4,4,4,2,5,1,4,4,2,5,5,3,3,4,3,2,2,1,4,4,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,1,4,4,3,5,1,5,5,5,5,4,3,4,4,1,1,1,3,5,1,4,4,1,1,4,4,1,1,1,1,1,1,1,1,3,1,1,1,1,1,"1,3,4",3,1,2,2,3,1,1,2,3,2,3,1,1,3,2,3,2,1,1,3,2,2,3,1,3,2,1,2,1,3,3,2,1,1,2,3,1,2,3,1,2,3,1,3,2,1,2,3,1,3,2,2,3,1,3,2,1,1,2,3,3,1,2,1,2,3,3,2,1,3,1,2,2,1,3,2,3,1,1,3,2,3,2,1,1,2,3,2,3,1,1,2,3,3,2,1,1,3,2,3,1,2,3,2,1,1,2,3,2,3,1,3,1,2,3,1,2,3,2,1,33,Male,1,,You asked me to rate and rank various personality traits and business persuasion tactics based on how well they applied to me and whether I would use them or not.,1,No,65aafa049a1f750c2a3c44e9,
4,1,4,3,4,4,3,2,3,4,3,2,4,3,3,2,2,3,4,3,4,2,2,2,4,2,4,3,2,2,2,3,4,3,2,4,4,1,4,1,2,4,2,5,1,1,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,3,4,4,3,3,3,5,5,5,5,5,5,5,1,2,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,4,1,1,1,1,1,"1,3,4",2,1,3,3,2,1,1,3,2,1,3,2,1,3,2,3,2,1,3,2,1,2,3,1,3,2,1,3,1,2,3,2,1,2,3,1,1,2,3,1,2,3,1,3,2,2,1,3,3,2,1,2,1,3,3,1,2,2,1,3,2,3,1,3,2,1,2,3,1,1,3,2,2,1,3,3,1,2,1,3,2,3,1,2,1,3,2,1,2,3,3,2,1,2,3,1,1,3,2,3,2,1,2,1,3,2,3,1,1,2,3,2,1,3,2,1,3,1,2,3,38,FEMALE,1,,YOU ASKED ME TO RANK HOW I WOULD SAY SOMETHING TO PERSON B and also to rank from most like me to  not like me ,1,n/a,6631b3e240da603d909b8fcd,
4,4,1,3,4,1,3,2,2,3,2,3,4,3,2,2,4,1,2,1,4,3,2,2,4,2,2,3,4,1,1,1,4,4,4,4,4,2,3,4,1,1,2,4,1,1,2,1,4,3,2,1,1,2,1,4,1,2,2,2,1,2,1,1,2,2,2,2,2,4,4,5,5,5,4,3,2,2,4,2,4,4,4,4,5,2,1,3,2,4,4,2,2,5,3,2,2,5,3,1,2,2,2,2,4,3,5,4,1,4,2,1,"1,3,4",3,1,2,2,1,3,3,1,2,2,3,1,1,2,3,3,2,1,2,1,3,3,2,1,2,3,1,3,2,1,2,3,1,1,3,2,1,2,3,1,2,3,1,2,3,1,3,2,1,3,2,1,2,3,2,1,3,3,1,2,1,2,3,2,1,3,1,2,3,2,1,3,2,1,3,2,1,3,3,2,1,1,2,3,1,2,3,2,1,3,2,3,1,2,1,3,2,3,1,1,3,2,2,1,3,1,2,3,1,2,3,1,3,2,3,1,2,3,2,1,18,female,3,,"this study asked me to rate whether i agree or disagree with certain personality statements, and then i answered some questions on what i would do in scenarios to influence the other person. finally, i ranked the personality statements from what resonates most to least.",2,,6680119beef63fcdd6dd5f78,
4,4,3,2,2,3,4,1,3,3,4,4,4,4,1,1,2,2,2,2,1,1,1,2,2,2,3,3,2,3,3,2,4,2,2,2,4,2,2,4,1,2,2,3,2,2,2,2,2,1,3,2,2,2,2,1,2,2,1,1,3,2,1,1,1,1,1,2,1,4,4,5,4,4,4,2,2,1,5,5,5,5,4,4,4,1,2,1,1,2,4,1,1,5,1,1,1,5,1,1,1,1,1,1,4,1,2,1,1,2,2,1,"1,3,4",2,1,3,3,1,2,3,2,1,3,2,1,1,3,2,3,1,2,3,1,2,2,3,1,3,2,1,3,1,2,3,1,2,1,3,2,1,2,3,2,1,3,1,3,2,1,2,3,2,3,1,1,3,2,3,1,2,3,1,2,3,1,2,1,2,3,1,3,2,3,1,2,1,2,3,3,1,2,1,3,2,1,2,3,2,3,1,3,1,2,3,2,1,3,1,2,1,3,2,1,3,2,1,2,3,2,1,3,2,3,1,3,1,2,1,2,3,1,2,3,30,Male,2,,This study wanted me to show how what tactics I'd use to get what I want from another person as well as find out some personality traits.,1,,62a0bacfca62a8134072e818,
5,5,4,5,4,2,4,2,3,2,5,2,2,1,2,1,4,1,1,3,2,2,1,4,5,4,4,3,4,2,3,1,3,1,3,2,4,1,1,4,2,2,1,5,3,2,3,1,4,1,1,1,1,3,1,1,1,1,1,1,1,4,1,1,1,1,1,2,4,5,5,4,4,5,5,4,5,5,5,4,5,5,5,5,5,3,2,1,1,4,4,1,2,5,2,1,4,5,4,4,1,1,4,1,5,4,4,1,1,5,4,1,1,1,2,3,2,1,3,2,3,1,2,3,1,1,3,2,1,3,2,2,3,1,3,2,1,3,2,1,3,1,2,3,1,2,2,1,3,1,2,3,1,2,3,2,3,1,1,2,3,2,3,1,3,1,2,3,1,2,3,1,2,2,3,1,2,1,3,1,3,2,3,1,2,1,3,2,3,1,2,3,1,2,2,3,1,1,2,3,1,2,3,1,3,2,3,1,2,1,3,2,2,3,1,2,1,3,2,3,1,1,2,3,1,2,3,1,3,2,2,1,3,24,Female,2,,To rate a series of scenarios in regards of what I would more likely to do to make someone do something for me in a workplace ,1,This was an interesting study. I wish you all the best for your study.,613b3dce563b993c5942912b,
5,5,5,3,5,5,5,4,5,5,4,4,4,3,4,3,2,4,3,4,5,4,3,5,4,4,5,5,2,4,4,5,5,5,3,2,4,1,3,4,5,4,1,5,3,4,2,3,3,1,2,4,3,3,2,2,2,2,3,2,1,3,2,4,3,2,4,4,2,5,5,5,5,5,4,3,3,3,5,5,5,5,5,5,5,4,4,2,2,2,5,2,4,4,2,2,4,5,3,4,3,2,2,2,3,4,4,2,1,4,3,1,"1,3,4",2,1,3,3,1,2,2,3,1,2,3,1,1,3,2,3,1,2,3,1,2,2,3,1,2,3,1,3,1,2,2,1,3,2,3,1,1,2,3,1,2,3,1,2,3,2,1,3,2,3,1,2,3,1,1,3,2,2,1,3,2,3,1,3,1,2,1,3,2,2,1,3,2,3,1,3,1,2,2,3,1,3,2,1,3,1,2,2,3,1,3,1,2,2,1,3,1,3,2,2,1,3,3,1,2,1,3,2,1,3,2,2,1,3,2,1,3,3,1,2,28,Female,1,,"I was asked about personality traits, and had to rank them in order I felt best fitting ",1,Great engaging survey ,6621d075c9c1656826701e93,
4,5,4,5,3,3,4,3,3,3,4,3,3,2,3,3,3,2,2,2,3,4,2,2,4,3,2,3,3,2,3,2,3,2,4,2,4,2,2,2,3,2,3,3,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,4,2,2,2,2,2,3,1,4,4,3,4,4,3,3,3,3,4,4,4,4,4,4,4,2,3,2,2,4,3,2,4,4,2,2,4,4,2,3,2,2,3,2,3,2,2,2,2,3,2,1,"1,3,4",2,3,1,3,2,1,2,3,1,2,3,1,3,1,2,3,2,1,3,2,1,3,2,1,2,3,1,3,1,2,2,3,1,2,3,1,1,3,2,1,2,3,3,1,2,2,3,1,2,3,1,1,3,2,1,2,3,3,1,2,2,1,3,1,3,2,1,3,2,3,1,2,1,3,2,3,1,2,3,2,1,1,3,2,1,2,3,2,1,3,2,3,1,2,1,3,1,2,3,3,2,1,2,1,3,1,3,2,1,2,3,1,3,2,2,1,3,2,3,1,47,male,6,mixed,Choose options that were like me,1,none,5da760eae8174b001640d369,
4,4,4,4,4,2,3,2,2,3,4,2,2,2,1,3,3,1,2,2,3,2,2,3,4,4,2,2,2,3,3,3,3,3,4,3,4,4,2,3,3,2,3,4,2,4,2,2,3,1,2,2,2,2,2,4,2,2,2,2,2,4,1,3,2,2,2,2,2,4,4,5,4,5,5,5,5,2,4,4,4,5,5,4,4,3,3,2,2,3,5,2,2,4,2,2,3,4,2,2,2,2,2,2,2,2,2,2,2,4,2,1,"1,3,4",3,1,2,3,1,2,2,3,1,1,3,2,1,3,2,3,2,1,1,2,3,3,2,1,3,2,1,3,1,2,3,1,2,1,2,3,1,2,3,1,2,3,1,3,2,1,2,3,2,3,1,2,3,1,3,2,1,2,1,3,2,1,3,1,2,3,1,3,2,3,1,2,1,2,3,2,1,3,2,3,1,2,3,1,1,2,3,1,3,2,1,2,3,2,1,3,1,2,3,2,1,3,2,1,3,1,3,2,1,3,2,2,3,1,3,1,2,2,1,3,45,Male,1,,Rank and analyse emotional reactions and responses,1,,6679f407b88ab25ee1a523d2,
4,4,4,4,5,3,2,3,4,3,3,4,3,4,3,1,2,4,4,3,5,3,3,4,3,2,3,3,1,4,3,5,5,4,3,4,3,2,4,3,4,4,2,2,3,3,4,3,2,3,4,2,3,2,2,4,2,3,4,3,2,2,1,1,2,2,2,3,2,4,4,2,2,3,2,2,2,2,4,4,4,4,4,4,4,1,1,1,1,3,2,1,3,2,1,2,3,4,1,3,1,1,3,2,4,2,2,2,1,2,2,1,"1,3,4",2,1,3,1,3,2,1,3,2,1,3,2,2,3,1,2,3,1,3,1,2,3,2,1,2,3,1,3,1,2,3,2,1,2,3,1,1,3,2,2,1,3,3,1,2,2,1,3,3,2,1,1,3,2,2,1,3,3,1,2,3,2,1,2,1,3,3,2,1,3,1,2,3,1,2,2,3,1,2,3,1,3,2,1,3,1,2,2,3,1,3,1,2,1,2,3,3,2,1,3,1,2,2,3,1,2,1,3,3,2,1,2,1,3,2,1,3,2,1,3,20,Male,1,,"I was asked a multitude of questions in regards to personality traits, and my thoughts on them. I was asked to rank certain ways to get someone to do what I want as well",1,,66928b03f289359a5cca86f4,
4,4,5,3,5,5,2,1,5,2,4,4,2,4,2,2,3,4,5,1,5,1,5,4,2,4,5,4,1,4,5,4,4,2,2,4,4,1,4,4,5,4,2,5,4,4,4,4,4,2,2,1,3,2,1,4,1,1,2,2,1,1,1,1,1,1,3,1,1,4,4,5,2,5,5,5,5,1,4,5,5,4,4,4,4,3,1,1,1,4,5,1,1,4,3,2,3,5,2,1,3,1,1,1,2,4,2,5,1,2,3,1,"1,3,4",3,2,1,3,2,1,2,3,1,1,3,2,1,3,2,3,2,1,2,3,1,3,2,1,3,2,1,3,1,2,3,2,1,3,1,2,3,2,1,1,2,3,1,3,2,2,3,1,3,1,2,2,3,1,3,1,2,2,1,3,2,3,1,3,1,2,2,3,1,3,2,1,3,1,2,3,2,1,1,3,2,3,1,2,3,2,1,2,3,1,1,3,2,3,2,1,2,3,1,3,1,2,3,1,2,1,3,2,1,3,2,2,1,3,2,1,3,3,1,2,35,female,1,,"You asked me about my personality and preferred influence/manipulation techniques, then (after the attention check) asked me to rank items in short lists of influence methods/personality traits to indicate what I'd likely try to do/what I'm like.",1,,5e1d0bdfdc1a170a132a6980,
4,4,4,3,5,3,4,3,4,4,3,2,3,3,2,2,3,2,3,2,4,2,2,5,4,2,4,4,2,2,2,3,4,2,3,3,4,1,3,1,2,2,3,5,2,2,2,1,4,2,1,1,1,3,1,4,1,1,1,2,1,1,1,1,1,1,2,1,1,3,5,5,3,5,4,3,2,1,5,5,5,5,5,5,5,1,2,1,1,2,3,1,1,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,"1,3,4",2,1,3,3,1,2,1,3,2,2,3,1,2,3,1,3,2,1,3,1,2,3,2,1,2,3,1,3,2,1,3,1,2,2,1,3,1,3,2,2,1,3,1,3,2,2,1,3,3,1,2,1,3,2,2,1,3,3,1,2,2,3,1,2,1,3,1,3,2,1,2,3,2,1,3,2,1,3,1,3,2,3,2,1,2,3,1,1,2,3,3,1,2,3,1,2,2,3,1,2,1,3,2,1,3,1,2,3,1,3,2,2,3,1,3,1,2,3,2,1,25,Female,6,NZ European,Measure how related I feel to different tactics and mannerisms,1,N/A,659d89b9d816e89ba953f4a9,
4,3,3,4,4,3,4,3,3,3,4,2,3,2,2,3,4,2,3,2,4,3,3,3,4,4,3,3,2,3,3,3,3,2,3,3,4,3,2,3,3,3,3,4,3,4,2,3,3,2,3,2,3,3,2,4,4,2,3,4,1,3,1,1,1,1,2,1,1,3,4,4,3,4,4,3,4,3,3,3,3,4,3,3,4,2,3,1,2,3,4,1,1,4,2,2,3,3,3,1,2,1,1,1,1,3,4,2,1,3,2,1,"1,3,4",2,1,3,3,2,1,1,3,2,2,3,1,2,3,1,3,2,1,3,2,1,2,3,1,3,2,1,3,2,1,3,2,1,1,3,2,1,2,3,2,1,3,2,3,1,1,2,3,2,3,1,1,3,2,3,1,2,3,1,2,1,3,2,1,2,3,1,3,2,2,1,3,1,3,2,2,1,3,2,3,1,1,3,2,1,2,3,1,2,3,2,3,1,3,1,2,1,2,3,1,2,3,2,1,3,1,3,2,1,3,2,3,2,1,3,1,2,3,2,1,24,Male,3,,Personality questions and preferences to influence others to do something that I want.,1,,6548613bd5eda7568039551f,
3,2,4,4,3,3,3,4,3,3,2,4,4,3,3,3,3,3,2,3,4,4,3,3,3,2,3,3,3,4,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,4,3,3,2,3,2,3,2,1,1,1,1,1,2,1,4,4,3,4,4,3,3,2,2,4,4,5,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,"2,4",3,1,2,3,2,1,1,3,2,3,2,1,2,3,1,3,1,2,1,3,2,2,3,1,3,2,1,3,2,1,3,2,1,3,2,1,1,3,2,2,1,3,2,3,1,2,1,3,1,3,2,3,1,2,3,1,2,2,3,1,2,3,1,2,3,1,2,1,3,2,3,1,2,1,3,3,1,2,3,2,1,2,3,1,1,3,2,2,3,1,2,3,1,2,3,1,2,3,1,1,2,3,1,3,2,2,3,1,1,2,3,1,3,2,2,1,3,3,1,2,38,FEMALE,2,,STATE MY TATICS FOR INFLUENCING PEOPLE AS WELL AS PERCEPTION OF MY SELF,1,NO,668df6a64f987d9440085d5b,0
5,2,4,4,2,2,4,2,2,4,1,2,2,4,1,1,2,1,3,2,2,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,2,4,4,2,4,2,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,4,1,1,5,1,1,4,1,2,3,3,2,1,2,3,1,2,3,1,1,3,2,3,2,1,3,1,2,3,2,1,3,2,1,3,1,2,3,2,1,2,1,3,1,3,2,1,2,3,1,3,2,1,2,3,3,1,2,1,3,2,3,2,1,1,2,3,1,3,2,1,2,3,1,3,2,1,3,2,2,1,3,2,1,3,2,1,3,2,1,3,1,3,2,2,1,3,2,3,1,2,1,3,2,3,1,3,1,2,3,1,2,3,1,2,1,2,3,1,2,3,2,1,3,2,1,3,36,Female,1,,Think about how I would deal with another person at work and my own personality traits.,1,,5f246c76aeb8310335c9ae57,
4,5,4,4,2,5,4,2,5,2,5,4,4,4,2,2,2,4,2,4,4,4,4,2,4,4,3,4,2,2,4,2,4,5,4,2,4,5,2,4,2,4,3,2,4,4,2,2,1,2,2,4,4,4,5,2,4,2,2,2,1,1,1,1,2,2,1,1,1,4,4,4,1,5,4,3,2,2,4,5,4,4,3,2,4,1,1,1,1,2,5,1,4,2,1,4,2,4,1,1,1,1,1,2,1,4,4,2,1,2,4,1,"1,3,4",2,1,3,3,2,1,2,1,3,2,3,1,1,3,2,3,1,2,1,3,2,3,2,1,1,3,2,3,1,2,3,2,1,1,2,3,1,2,3,2,1,3,1,3,2,1,2,3,1,3,2,1,3,2,3,2,1,2,1,3,3,1,2,2,3,1,2,3,1,3,1,2,1,2,3,1,3,2,2,1,3,1,2,3,1,2,3,1,2,3,1,3,2,1,2,3,2,1,3,1,3,2,1,3,2,1,3,2,2,1,3,1,3,2,1,2,3,2,1,3,30,Female,6,Pasifika,"Reflect on  influence tactics, rank them on my likelihood to use them, and which I'd use over others. Followed by a quick personality trait survery.",1,"Some of the language may have been too specific, or not inclusive of all sexualities. A lot of them came across as situations of workplace bullying.",66aed660bdd83d9d190baf84,
4,4,2,5,2,3,4,2,2,4,2,2,3,4,2,4,5,2,3,2,2,2,4,2,4,3,2,4,2,2,4,2,2,2,5,2,4,2,4,2,4,2,2,5,2,2,2,4,5,2,2,1,2,2,1,4,4,2,2,2,1,2,1,1,2,2,2,1,1,4,4,2,3,4,2,2,4,1,5,3,4,5,4,3,4,2,2,1,1,3,4,1,1,1,2,2,4,5,2,1,1,1,1,1,2,2,1,2,2,2,1,1,"1,3,4",3,2,1,3,1,2,3,2,1,1,3,2,3,1,2,3,2,1,2,3,1,3,2,1,2,3,1,3,1,2,2,1,3,2,1,3,1,3,2,1,2,3,3,1,2,1,2,3,2,1,3,3,2,1,1,2,3,2,1,3,2,1,3,1,3,2,2,3,1,1,2,3,1,3,2,2,1,3,1,2,3,1,2,3,1,2,3,1,2,3,1,3,2,3,1,2,1,3,2,3,2,1,2,1,3,2,3,1,1,2,3,1,3,2,3,1,2,1,2,3,34,Male,1,,"describe my personality, and how i would get people to do things in the workplace",1,,66a22714ed2090b19d30e49c,
2,5,2,2,4,4,4,5,5,3,5,5,4,4,5,2,2,5,4,4,3,4,4,2,2,4,5,4,2,4,4,5,5,3,2,4,4,4,5,4,2,5,3,2,2,5,2,5,2,5,5,3,4,2,5,5,1,2,4,4,2,2,3,3,4,4,2,4,1,5,5,5,3,4,4,3,2,2,4,4,4,5,4,2,4,3,2,1,1,4,4,1,4,5,1,1,4,4,1,1,1,1,3,2,4,2,3,4,1,4,1,1,"1,3,4",2,1,3,3,1,2,2,3,1,1,3,2,1,3,2,3,1,2,2,1,3,1,3,2,2,3,1,3,1,2,2,1,3,2,1,3,1,2,3,1,2,3,2,1,3,1,2,3,2,1,3,1,3,2,2,1,3,2,1,3,3,1,2,3,2,1,3,1,2,3,1,2,3,2,1,2,3,1,2,1,3,1,2,3,3,2,1,3,2,1,2,3,1,2,3,1,3,1,2,3,2,1,2,3,1,2,3,1,3,1,2,2,1,3,2,1,3,2,1,3,43,Male,1,,"The first part of the study related to personality traits and how I see myself. The second related to different influence tactics. The Third was some similar personality traits to section one, albeit presented in a different way and the last page collected demographics and asked me to write this statement.",1,"I enjoyed this, I found it quite personally reflective and it required quite a bit of thought.",65c6d0c88f76694c5125a411,
3,3,2,5,1,2,3,3,4,2,4,4,4,4,4,3,4,2,2,4,4,4,4,4,4,2,5,4,4,2,4,4,4,4,4,4,4,1,3,5,4,4,2,3,4,1,3,1,3,2,3,4,2,3,4,4,4,2,2,1,4,4,3,2,3,3,3,4,3,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,2,3,1,1,4,4,1,4,4,2,2,4,4,1,1,2,2,3,2,4,1,4,2,1,4,1,1,"1,3,4",2,1,3,3,2,1,2,3,1,1,2,3,3,2,1,2,1,3,1,3,2,3,1,2,3,1,2,3,1,2,1,2,3,1,3,2,1,2,3,1,2,3,3,2,1,1,2,3,2,1,3,1,3,2,2,1,3,2,1,3,2,3,1,1,2,3,1,2,3,3,1,2,3,1,2,3,1,2,3,1,2,1,2,3,1,3,2,1,2,3,1,3,2,3,2,1,2,3,1,3,1,2,3,1,2,2,1,3,1,3,2,1,3,2,2,3,1,1,2,3,36,Male,1,,Ways I would have a coworker do something I want them to do and answer some personal questions related to psychological wellbeing and mood,1,That was enjoyable,6637e6d382d221675254185b,
3,4,2,3,3,2,3,4,4,4,3,4,4,5,3,1,2,2,2,4,2,3,2,2,3,4,4,4,2,2,2,2,3,3,3,4,4,3,4,4,2,2,2,4,2,2,2,3,4,3,2,4,1,3,4,4,1,2,2,1,2,3,4,3,2,4,2,1,2,5,4,4,4,4,5,3,4,2,4,4,5,5,4,4,4,3,3,2,1,3,4,1,4,5,1,1,4,4,3,2,1,2,1,1,1,1,4,3,1,4,1,1,"1,3,4",3,2,1,3,2,1,3,2,1,1,3,2,1,3,2,2,3,1,2,3,1,3,1,2,3,2,1,3,1,2,1,3,2,1,2,3,2,3,1,1,2,3,3,2,1,1,2,3,1,3,2,1,3,2,3,2,1,3,1,2,2,1,3,1,2,3,1,2,3,2,3,1,2,1,3,3,1,2,2,1,3,1,2,3,2,3,1,1,2,3,2,3,1,2,3,1,2,3,1,2,3,1,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,1,2,3,26,female,1,,Rank a series of behaviours/acts,1,,663ff38cc6f36091d835da2e,
3,4,4,5,4,1,5,1,1,4,2,1,3,2,3,3,5,1,1,2,1,4,2,1,5,1,1,5,4,1,2,1,1,2,4,1,4,1,1,2,1,1,1,5,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,5,4,4,1,4,5,5,5,5,5,5,1,1,1,1,3,5,1,1,5,1,1,1,5,1,1,1,1,1,1,2,1,1,1,1,4,1,1,"1,3,4",3,1,2,1,3,2,3,2,1,1,2,3,1,3,2,2,1,3,1,3,2,2,3,1,3,1,2,3,1,2,2,1,3,1,3,2,1,2,3,1,2,3,3,2,1,1,2,3,2,3,1,1,3,2,3,1,2,3,1,2,3,1,2,1,2,3,1,3,2,1,2,3,1,2,3,3,1,2,2,1,3,1,2,3,1,2,3,2,1,3,1,3,2,2,1,3,1,3,2,1,3,2,2,1,3,1,3,2,1,3,2,1,3,2,3,1,2,3,2,1,77,Male,1,,Decide what is the best way to get someone to do what I want them to do,1,,5d195448e47637001cf4fb43,
4,2,4,5,4,2,5,3,4,4,2,3,5,4,4,3,4,1,4,3,2,4,3,3,5,4,5,4,5,3,4,2,4,3,5,2,5,1,3,5,4,4,5,5,3,4,5,2,3,1,2,3,1,4,2,5,3,4,4,3,4,3,5,3,2,4,3,4,2,4,3,2,4,3,4,3,4,3,5,2,1,4,5,2,4,3,2,5,3,2,4,4,5,2,3,4,3,5,3,2,4,3,4,2,4,3,4,3,2,5,5,1,"2,3",2,1,3,3,2,1,1,2,3,1,2,3,2,3,1,1,2,3,1,3,2,3,2,1,2,1,3,3,2,1,3,1,2,1,2,3,2,3,1,2,1,3,3,2,1,3,2,1,1,2,3,3,1,2,3,1,2,2,3,1,3,1,2,1,2,3,1,3,2,3,1,2,2,1,3,2,1,3,3,2,1,1,2,3,1,3,2,1,2,3,2,3,1,3,1,2,1,3,2,1,3,2,2,1,3,2,3,1,2,1,3,2,3,1,2,3,1,1,3,2,34,Male,3,,Interesting survey,1,None,66a101ab4b5b428f0eaed4e1,0
1,5,5,5,1,5,5,5,5,5,5,5,5,1,4,1,5,5,1,5,1,5,1,5,5,5,4,5,1,4,4,1,2,5,5,1,5,1,1,5,5,4,1,5,4,5,1,5,5,4,4,4,4,1,2,5,1,2,4,1,4,4,1,2,2,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,2,4,5,4,4,5,5,4,1,5,4,1,5,2,1,4,4,1,5,5,2,5,1,1,"1,3,4",3,1,2,3,1,2,1,3,2,3,2,1,1,3,2,3,1,2,3,1,2,2,3,1,3,2,1,3,2,1,1,2,3,1,2,3,1,2,3,2,1,3,2,3,1,1,2,3,2,3,1,1,3,2,3,1,2,3,2,1,3,2,1,2,3,1,3,1,2,3,2,1,2,3,1,3,1,2,3,1,2,1,3,2,3,1,2,1,3,2,1,3,2,2,1,3,1,3,2,2,1,3,3,1,2,1,3,2,3,1,2,2,1,3,2,1,3,2,1,3,42,Male,1,,For this study we had to make choices about how well things described us and also rank things in ease of us to be able to do in a particular situation. Great survey guys thanks for having me and allowing me to assist in your work.,1,Everything worked great guys. I really like the auto advance feature after answering. I wish all studies were this way. Great one guys thanks again ,5e3c1fbece3a7b000a6fd95a,
4,2,3,4,3,3,3,4,4,3,4,2,2,2,4,4,2,2,2,2,2,4,3,4,4,4,4,2,2,3,2,1,2,2,3,2,2,2,2,3,1,2,2,2,1,3,2,2,2,2,2,3,1,1,3,2,1,1,1,1,2,2,2,2,2,1,2,4,1,4,4,3,5,5,4,4,3,3,5,4,5,5,5,4,4,2,2,1,1,4,4,1,4,4,1,1,3,4,1,2,1,1,1,1,1,1,1,1,1,1,4,1,"1,3,4",3,1,2,2,3,1,1,3,2,2,3,1,2,1,3,2,1,3,2,3,1,2,1,3,1,3,2,3,1,2,1,2,3,1,2,3,1,2,3,1,2,3,2,1,3,1,2,3,1,3,2,2,3,1,1,2,3,2,1,3,1,3,2,1,3,2,3,2,1,3,1,2,2,3,1,1,3,2,3,1,2,3,1,2,1,3,2,2,1,3,1,3,2,3,1,2,1,3,2,2,3,1,2,1,3,2,3,1,1,2,3,1,3,2,1,2,3,3,2,1,40,Male,1,,"Select how you would act with colleagues, personally trates, what opinions you have of yourself ",1,,5c272c88fbb7e600018a1d22,
